name,num_years,wins,losses
Gordie-Gillespie,59,1893,952
Augie-Garrido,45,1874,871
Gene-Stephenson,36,1837,675
Mike-Martin,34,1771,611
Ed-Cheff,34,1705,430
Larry-Hays,38,1508,860
Mark-Marquess,37,1495,781
Chuck-Hartman,47,1444,816
Don-Schaly,40,1442,329
Cliff-Gustafson,29,1427,373
Bill-Holowaty,45,1404,525
Jim-Morris,31,1391,613
Ron-Polk,35,1373,702
Rod-Dedeaux,44,1342,597
Larry-Cochell,39,1331,813
Tommy-Thomas,40,1308,825
Bob-Bennett,34,1300,757
Joe-Roberts,32,1283,623
Ron-Fraser,30,1271,438
Jack-Stallings,39,1255,799
Itch-Jones,39,1242,752
Jim-Dietz,31,1230,751
Jim-Gilligan,35,1227,800
Jack-Leggett,32,1224,694
Mike-Metheny,31,1214,559
Jay-Bergman,32,1210,707
Al-Ogletree,40,1208,710
Pete-Dunn,32,1202,761
Jim-Mallon,34,1196,602
Mike-Fox,30,1174,403
Gary-Adams,35,1172,892
Bill-Wilhelm,36,1161,536
Norm-DeBriyn,33,1161,650
Jack-Coffey,47,1160,482
Chuck-Brayton,33,1158,525
Ray-Tanner,25,1133,489
Frank-Vieira,44,1127,324
Paul-Mainieri,29,1122,614
Don-Brandon,38,1110,588
Jim-Brock,23,1099,441
Jack-Smitheran,35,1097,790
John-Anderson,30,1092,726
Andy-Lopez,30,1090,664
Danny-Price,28,1086,597
Les-Murakami,30,1079,570
Bob-Morgan,30,1070,586
Bob-Warn,31,1070,745
John-Scolinos,45,1070,954
Fred-Hill,34,1061,719
Dean-Bowyer,36,1053,540
Bob-Hannah,36,1053,463
Mark-Johnson,25,1043,564
Skip-Wilson,46,1034,824
Keith-Guttin,29,1032,652
Dewey-Kalmer,40,1032,914
Gary-Collins,33,1028,766
Danny-Hall,24,1025,492
Bob-Todd,27,1025,559
Gary-Ward,21,1022,361
Gary-Grob,35,1020,563
Tom-Austin,32,1003,435
Rudy-Abbott,32,1003,467
Tim-Pettorini,30,1002,376
