start_year,name,end_year,ncaa_wins,losses,conf_tourn_wins,years_active,games,ncaa_appearances,wins,conf_reg_wins,ff_appearances
1987,tom abatemarco,2000,0,121,0,7,191,0,70,0,0
1917,paul abbott,1917,0,7,0,1,12,0,5,0,0
1992,ron abegglen,1999,0,84,2,8,235,2,151,3,0
1918,earl abell,1919,0,12,0,2,26,0,14,0,0
1978,stu aberdeen,1979,0,31,0,2,56,0,25,0,0
1990,ron abernathy,1991,0,43,0,2,55,0,12,0,0
1916,howard acher,1925,0,41,0,7,87,0,46,0,0
1983,dick acres,1985,0,34,1,3,81,1,47,1,0
1912,cw adams,1913,0,5,0,2,16,0,11,0,0
1945,frank adams,1949,0,59,0,5,113,0,54,0,0
1925,harry adams,1948,0,32,0,3,66,0,34,0,0
1912,james adams,1913,0,9,0,2,18,0,9,0,0
1993,mark adams,1997,0,90,0,5,134,0,44,0,0
1992,mark adams,1996,0,95,0,5,135,0,40,0,0
1977,marvin adams,1984,0,108,0,8,218,0,110,0,0
1987,ron adams,1990,0,72,0,4,115,0,43,0,0
2000,mike adras,2012,0,170,1,13,363,1,193,2,0
1918,gurney afflerbach,1919,0,18,0,2,25,0,7,0,0
2009,jesse agel,2012,0,79,0,4,118,0,39,0,0
1996,steve aggers,2005,0,172,0,10,278,0,106,1,0
1907,mike ahearn,1911,0,27,0,5,55,0,28,0,0
1904,henry ahrens,1904,0,11,0,1,19,0,8,0,0
1998,paul aiello,1998,0,3,0,1,6,0,3,0,0
1945,jim aiken,1945,0,9,0,1,17,0,8,0,0
1970,gerald alaimo,1978,0,145,0,9,233,0,88,0,0
1969,stan albeck,1991,0,106,1,7,196,1,90,1,0
1975,randy albrecht,1977,0,47,0,3,79,0,32,0,0
1902,ak aldinger,1905,0,11,0,4,30,0,19,0,0
2012,casey alexander,2014,0,48,0,3,83,0,35,0,0
1988,cy alexander,2014,0,339,6,24,709,6,370,6,0
1928,louis alexander,1944,0,25,0,6,83,0,58,0,0
1955,rex alexander,1958,0,54,0,4,99,0,45,0,0
1920,william alexander,1924,0,38,0,4,74,0,36,0,0
1996,steve alford,2014,0,211,4,19,613,7,402,4,0
1920,bill allen,1920,0,4,0,1,6,0,2,0,0
1910,claude allen,1914,0,22,0,4,68,0,46,0,0
1939,eck allen,1947,0,32,0,5,90,1,58,0,0
1988,frankie allen,2014,0,425,2,24,687,2,262,2,0
1914,harvey allen,1914,0,2,0,1,5,0,3,0,0
1923,james allen,1925,0,12,0,3,59,0,47,0,0
2010,jerome allen,2014,0,78,0,5,130,0,52,0,0
1906,phog allen,1956,3,259,0,48,978,4,719,24,3
1950,sonny allen,1987,0,184,2,14,386,2,202,2,0
1974,tom allen,1974,0,9,0,1,9,0,0,0,0
1904,wilbur allen,1904,0,4,0,1,10,0,6,0,0
1946,lyles alley,1966,0,258,0,20,506,0,248,0,0
1920,stub allison,1920,0,8,0,1,15,0,7,0,0
1917,vb allison,1920,0,11,0,3,23,0,12,0,0
1997,derek allister,2000,0,74,0,4,106,0,32,0,0
1901,allot,1901,0,6,0,1,16,0,10,0,0
1990,dana altman,2014,0,287,7,25,785,9,498,3,0
1945,paul alyea,1945,0,8,0,1,12,0,4,0,0
1998,tommy amaker,2014,0,208,0,17,513,3,305,3,0
1983,mark amatucci,1989,0,116,0,7,201,0,85,0,0
1992,joe anders,1992,0,24,0,1,28,0,4,0,0
1946,clarence andersen,1947,0,22,0,2,45,0,23,0,0
1962,ladell andersen,1989,0,167,0,16,454,8,287,1,0
1946,dick anderson,1946,0,11,0,1,20,0,9,0,0
1914,el anderson,1914,0,8,0,1,12,0,4,0,0
1926,edward anderson,1929,0,21,0,4,46,0,25,0,0
1947,forddy anderson,1965,3,203,0,19,502,4,299,3,3
1960,glendon anderson,1971,0,161,0,12,302,0,141,0,0
1953,hank anderson,1974,0,280,0,22,579,0,299,2,0
1935,harold anderson,1963,0,226,0,29,730,3,504,3,0
1896,henry anderson,1898,0,19,0,3,51,0,31,0,0
1907,isadore anderson,1907,0,6,0,1,16,0,10,0,0
1990,jim anderson,1995,0,90,0,6,169,1,79,1,0
1943,kyle anderson,1944,0,40,0,2,41,0,1,0,0
2003,mike anderson,2014,0,133,1,12,384,6,251,1,0
1926,millard anderson,1926,0,13,0,1,19,0,6,0,0
1999,tevester anderson,2013,0,222,3,15,474,3,252,4,0
1967,wayne anderson,1974,0,117,0,8,205,0,88,0,0
1918,william anderson,1949,0,82,0,11,221,0,139,2,0
1925,lew andreas,1950,0,135,0,25,493,0,358,0,0
1936,jb andrews,1936,0,12,0,1,12,0,0,0,0
1905,emmett angell,1910,0,23,0,6,85,0,62,2,0
1980,vince angotti,1983,0,69,0,4,108,0,39,0,0
1991,steve antrim,1995,0,63,0,5,137,0,74,1,0
1937,lawrence apitz,1940,0,52,0,4,62,0,10,0,0
1975,tom apke,1996,0,292,2,22,620,3,328,1,0
1922,clarence applegran,1925,0,36,0,3,58,0,22,0,0
1923,phillip arbuckle,1923,0,9,0,1,19,0,10,0,0
1914,fred archer,1914,0,7,0,1,17,0,10,0,0
1978,lynn archibald,1989,0,152,0,11,315,1,163,1,0
1909,frank armin,1909,0,3,0,1,9,0,6,0,0
1913,charles armstrong,1913,0,4,0,1,10,0,6,0,0
1914,dave armstrong,1914,0,2,0,1,5,0,3,0,0
1926,ike armstrong,1927,0,18,0,2,27,0,9,1,0
1990,jack armstrong,1998,0,154,0,9,254,0,100,0,0
1944,red armstrong,1944,0,2,0,1,20,0,18,0,0
1962,john arndt,1968,0,90,0,7,181,0,91,0,0
1976,frank arnold,1987,0,139,0,10,287,3,148,2,0
2011,gib arnold,2014,0,51,0,4,118,0,67,0,0
1980,murray arnold,2000,0,143,3,13,387,4,244,5,0
1984,jay arnote,1988,0,72,0,5,142,0,70,1,0
1988,ronnie arrow,2013,0,210,3,19,516,4,306,7,0
1989,tom asbury,2011,0,215,3,15,453,4,238,3,0
1924,franklyn ashcraft,1927,0,39,0,3,43,0,4,0,0
1904,jimmy ashmore,1931,0,105,0,20,311,0,205,1,0
1968,edward ashnault,1974,0,90,0,7,171,0,81,0,0
1950,presley askew,1965,0,183,0,15,352,2,169,4,0
1971,sam aubrey,1973,0,60,0,3,78,0,18,0,0
1922,joe aurreocoechea,1923,0,11,0,2,34,0,23,0,0
1935,lindsay austin,1935,0,13,0,1,20,0,7,0,0
1974,tim autrey,1980,0,93,0,7,188,0,95,1,0
1971,jack avina,1987,0,243,0,17,465,0,222,0,0
1990,randy ayers,1997,0,108,0,8,232,3,124,2,0
1945,rusty baccus,1945,0,10,0,1,21,0,11,0,0
1939,whitey baccus,1947,0,71,0,6,126,0,55,0,0
1950,john bach,1978,0,326,0,29,725,2,399,2,0
1911,arthur badenoch,1913,0,22,0,3,25,0,3,0,0
1979,ed badger,1983,0,71,0,5,139,0,68,0,0
1962,jim baechtold,1967,0,57,0,6,127,1,70,1,0
1942,al baggett,1949,0,27,0,3,73,0,46,1,0
2013,kevin baggett,2014,0,25,0,2,56,0,31,0,0
1903,fred bailey,1903,0,3,0,1,7,0,4,0,0
1950,boydson baird,1957,0,126,0,8,201,0,75,0,0
1951,cecil baker,1961,0,141,0,11,299,0,158,0,0
1969,dick baker,1973,0,73,0,5,128,0,55,0,0
1987,joe baker,1989,0,68,0,3,82,0,14,0,0
1992,rod baker,1997,0,116,0,6,168,0,52,0,0
1966,tay baker,1979,0,149,0,13,344,1,195,1,0
1974,george balanis,1977,0,43,0,4,93,0,50,0,0
1917,james baldwin,1928,0,52,0,8,123,0,71,0,0
1917,wp bales,1921,0,22,0,5,60,0,38,0,0
1947,lorin ball,1947,0,5,0,1,9,0,4,0,0
1940,clark ballard,1942,0,31,0,3,55,0,24,0,0
1935,virgil ballard,1935,0,9,0,1,24,0,15,1,0
1983,wayne ballard,1985,0,55,0,3,92,0,37,0,0
2011,dave balza,2011,0,20,0,1,30,0,10,0,0
1975,dale bandy,1980,0,89,0,6,158,0,69,0,0
1914,mark banks,1926,0,113,0,13,226,0,112,0,0
2012,roman banks,2014,0,34,1,3,86,1,52,0,0
1919,edwin bannick,1919,0,7,0,1,15,0,8,0,0
1990,kevin bannon,2001,0,163,2,12,353,2,190,3,0
1971,fred barakat,1981,0,128,0,11,288,0,160,0,0
2007,tony barbee,2014,0,120,0,8,248,1,128,1,0
1947,william barclay,1949,0,49,0,3,73,0,24,0,0
1980,ron bargatze,1983,0,67,0,4,106,0,39,0,0
1943,rudy baric,1943,0,7,0,1,21,0,14,0,0
1947,clyde barker,1949,0,19,0,3,76,0,57,3,0
1967,ralph barkey,1978,0,144,0,12,313,0,169,0,0
1923,je barnes,1923,0,3,0,1,4,0,1,0,0
1997,milton barnes,2000,0,53,1,4,115,1,62,0,0
1988,rick barnes,2014,1,293,1,27,871,20,578,3,1
1999,rod barnes,2014,0,233,0,15,458,3,225,1,0
2000,steve barnes,2002,0,51,0,3,90,0,39,0,0
1927,barnes,1928,0,18,0,2,23,0,5,0,0
1942,willis barnes,1943,0,30,0,2,42,0,12,0,0
1978,jd barnett,1999,0,231,4,19,547,7,316,5,0
1988,jim baron,2014,0,390,1,27,815,2,425,1,0
1986,tony barone,1998,0,202,2,13,380,2,178,2,0
1912,a v barrett,1915,0,33,0,4,70,0,37,0,0
1924,john barrett,1925,0,14,0,2,29,0,15,0,0
1911,barrier,1911,0,7,0,1,13,0,6,0,0
1919,irving barron,1919,0,6,0,1,8,0,2,0,0
1981,peter barry,1982,0,13,0,2,62,2,49,1,0
1923,sam barry,1950,1,192,0,24,514,1,322,5,1
1936,george barsi,1945,0,62,0,9,166,0,104,2,0
1945,arthur barthelme,1945,0,12,0,1,22,0,10,0,0
