"Coach" "start_year"
"1814" "mike-krzyzewski-1" 1976
"2954" "dean-smith-1" 1962
"3466" "john-wooden-1" 1947
"3414" "roy-williams-1" 1989
"1782" "bob-knight-1" 1966
"2542" "rick-pitino-1" 1979
"454" "jim-calhoun-1" 1973
"1597" "tom-izzo-1" 1996
"853" "billy-donovan-1" 1995
"278" "jim-boeheim-1" 1977
"2434" "lute-olson-1" 1974
"2789" "adolph-rupp-1" 1931
"711" "denny-crum-1" 1972
"2878" "bill-self-1" 1994
"3153" "john-thompson-1" 1973
"3154" "john-thompson-1" 2001
"1902" "guy-lewis-1" 1957
"457" "john-calipari-1" 1989
"1595" "george-ireland-1" 1952
"2974" "tubby-smith-1" 1992
"3090" "eddie-sutton-1" 1970
"3403" "gary-williams-1" 1979
"1693" "ed-jucker-1" 1947
"1540" "ben-howland-1" 1995
"2695" "nolan-richardson-1" 2001
"2696" "nolan-richardson-1" 1981
"3124" "fred-taylor-1" 1959
"1367" "jim-harrick-1" 1992
"1368" "jim-harrick-1" 1980
"3472" "phil-woolpert-1" 1951
"2043" "rollie-massimino-1" 1974
"1552" "bob-huggins-1" 1985
"3114" "jerry-tarkanian-1" 1970
"2001" "rick-majerus-1" 1984
"2944" "norm-sloan-1" 1957
"2047" "thad-matta-1" 2001
"61" "forddy-anderson-1" 1947
"3067" "dave-strack-1" 1960
"1054" "steve-fisher-1" 1989
"2128" "frank-mcguire-1" 1948
"378" "larry-brown-1" 1980
"379" "larry-brown-1" 1990
"145" "rick-barnes-1" 1988
"542" "john-chaney-1" 1983
"500" "lou-carnesecca-1" 1966
"2127" "al-mcguire-1" 1965
"189" "john-beilein-1" 1993
"3201" "billy-tubbs-1" 1977
"526" "john-castellani-1" 1957
"1414" "jud-heathcote-1" 1972
"163" "gene-bartow-1" 1971
"1390" "don-haskins-1" 1962
"368" "dale-brown-1" 1973
"1437" "lou-henson-1" 1963
"1033" "mark-few-1" 2000
"3037" "brad-stevens-1" 2008
"2806" "kelvin-sampson-1" 1988
"3331" "bruce-weber-1" 1999
"3229" "jim-valvano-1" 1973
"1508" "terry-holland-1" 1970
"2525" "digger-phelps-1" 1971
"3478" "jay-wright-1" 1995
"1856" "jim-larranaga-1" 1987
"2354" "pete-newell-1" 1947
"911" "hugh-durham-1" 1967
"1292" "bill-guthridge-1" 1998
"771" "tom-davis-1" 1972
"2254" "mike-montgomery-1" 1979
"3407" "joe-williams-2" 1967
"768" "mike-davis-6" 2001
"1023" "bob-feerick-1" 1951
"1361" "dick-harp-1" 1957
"465" "lou-campanelli-1" 1977
"2390" "jim-obrien-1" 1983
"2391" "jim-obrien-1" 1990
"695" "bobby-cremins-1" 1976
"1811" "lon-kruger-1" 1983
"851" "don-donoher-1" 1965
"2767" "lee-rose-1" 1976
"883" "lefty-driesell-1" 1961
"2218" "sean-miller-1" 2005
"1126" "bill-frieder-1" 1981
"406" "vic-bubas-1" 1960
"694" "tom-crean-1" 2000
"328" "ben-braun-1" 1986
