start_year,name,end_year,losses,bowl_games,bowl_wins,years_active,bowl_losses,wins,games
1902,eli-abbott-1,1902,4,0,0,1,0,4,8
1928,earl-abell-1,1930,12,0,0,3,0,14,28
1923,earl-able-1,1924,6,0,0,2,0,10,18
1890,george-adams-1,1892,2,0,0,3,0,34,36
1940,hobbs-adams-1,1946,21,0,0,3,0,4,27
2011,steve-addazio-1,2013,17,2,1,3,1,20,37
1964,alex-agase-1,1976,83,0,0,13,0,50,135
1949,phil-ahwesh-1,1949,6,0,0,1,0,3,9
1946,jim-aiken-1,1950,22,1,0,5,1,28,50
1975,fred-akers-1,1990,75,10,2,16,8,108,186
2007,robb-akey-1,2012,50,1,1,6,0,20,70
1978,ray-alborn-1,1983,53,0,0,6,0,13,66
1877,luman-aldrich-1,1877,3,0,0,1,0,0,3
1923,sm-alexander-1,1923,4,0,0,1,0,5,9
1920,william-alexander-1,1944,95,5,3,25,2,134,244
1990,george-allen-3,1990,5,0,0,1,0,6,11
1927,george-allen-2,1932,32,0,0,6,0,9,42
1920,phog-allen-1,1920,2,0,0,1,0,5,8
1996,pokey-allen-1,1996,1,0,0,1,0,1,2
1997,terry-allen-1,2001,33,0,0,5,0,20,53
1911,dave-allerdice-1,1915,7,0,0,5,0,33,40
1973,tom-alley-1,1974,13,0,0,2,0,9,22
1920,stub-allison-1,1944,47,1,1,11,0,59,108
1981,billy-alton-1,1981,8,0,0,1,0,1,9
1990,barry-alvarez-1,2012,75,12,8,17,4,117,196
2000,chuck-amato-1,2006,37,5,4,7,1,49,86
1956,paul-amen-1,1959,26,0,0,4,0,11,40
1892,knowlton-ames-1,1892,3,0,0,1,0,13,18
1929,william-amos-1,1931,8,0,0,3,0,17,28
2001,tom-amstutz-1,2008,41,4,2,8,2,58,99
2009,gary-andersen-1,2013,28,2,1,5,1,35,63
1984,dick-anderson-1,1989,34,0,0,6,0,27,65
1938,edward-anderson-1,1964,94,0,0,24,0,125,225
1919,frank-anderson-2,1919,5,0,0,1,0,3,9
1919,frank-anderson-1,1920,10,0,0,2,0,6,18
1965,harry-anderson-1,1968,26,0,0,4,0,13,39
1931,hunk-anderson-1,1936,26,0,0,6,0,27,56
1918,john-anderson-2,1981,34,0,0,10,0,52,89
1927,lew-andreas-1,1929,10,0,0,3,0,15,28
1913,w-gresham-andrews-1,1913,2,0,0,1,0,5,8
1962,dee-andros-1,1975,80,0,0,14,0,62,144
1986,moe-ankney-1,1990,31,0,0,5,0,20,54
1963,william-ankney-1,1964,14,0,0,2,0,4,20
1937,garrett-arbelbide-1,1939,17,0,0,3,0,8,27
1914,phillip-arbuckle-1,1923,23,0,0,9,0,44,75
1987,mike-archer-1,1990,18,2,1,4,1,27,46
1983,bruce-arians-1,1988,39,0,0,6,0,27,66
1925,ike-armstrong-1,1949,55,1,1,25,0,141,211
1984,bill-arnsparger-1,1986,8,3,0,3,3,26,36
1998,dave-arslanian-1,1999,15,0,0,2,0,7,22
1973,sarkis-arslanian-1,1981,47,0,0,9,0,45,96
1949,charles-atkinson-1,1955,49,0,0,7,0,18,70
1992,chris-ault-1,2012,56,10,2,12,8,95,151
1980,joe-avezzano-1,1984,47,0,0,5,0,6,55
1934,joe-bach-1,1934,2,0,0,1,0,8,10
1919,charlie-bachman-1,1946,62,1,0,22,1,105,186
1905,walter-bachman-1,1906,3,0,0,2,0,13,16
1918,ah-badenoch-1,1918,4,0,0,1,0,0,4
1945,chuck-baer-1,1950,21,0,0,6,0,35,57
2004,kent-baer-1,2012,1,2,1,2,1,1,2
1921,enoch-bagshaw-1,1929,21,2,0,9,1,64,91
1986,charlie-bailey-1,1999,73,0,0,10,0,31,106
2007,david-bailiff-1,2013,48,2,2,7,0,40,88
1892,ag-baillet-1,1892,2,0,0,1,0,8,10
1973,art-baker-1,1988,74,0,0,13,0,64,143
1940,edward-baker-1,1940,5,0,0,1,0,3,8
1942,john-baker-1,1952,36,0,0,6,0,23,61
1997,dave-baldwin-1,2000,27,0,0,4,0,18,45
1922,james-baldwin-1,1927,17,0,0,4,0,16,38
1999,jerry-baldwin-1,2001,27,0,0,3,0,6,33
1893,dm-balliet-1,1901,10,0,0,4,0,22,34
1935,ted-bank-1,1940,32,0,0,6,0,18,54
1910,laurence-bankart-1,1916,7,0,0,5,0,28,38
1986,chuck-banker-1,1986,1,0,0,1,0,1,2
1918,mark-banks-2,1925,25,0,0,8,0,38,67
1898,wh-bannard-1,1898,4,0,0,1,0,9,14
1892,frank-barbour-1,1893,8,0,0,2,0,14,22
1908,george-barclay-1,1955,32,1,0,7,1,34,70
1976,doug-barfield-1,1980,27,0,0,5,0,27,55
2011,george-barlow-1,2011,7,0,0,1,0,1,8
1904,charles-barnard-1,1904,5,0,0,1,0,1,6
1958,bill-barnes-1,1964,34,1,0,7,1,31,68
1942,willis-barnes-1,1946,18,2,1,4,0,16,39
1992,gary-barnett-1,2005,83,6,2,14,4,84,168
1941,john-barnhill-1,1949,22,4,2,8,1,54,81
1918,irving-barron-1,1918,0,0,0,1,0,4,4
1941,sam-barry-1,1941,6,0,0,1,0,2,9
1908,tom-barry-1,1910,4,0,0,3,0,9,16
1945,doby-bartling-1,1945,6,0,0,1,0,3,9
1974,gil-bartosh-1,1976,28,0,0,3,0,6,34
1951,marvin-bass-1,1965,32,0,0,6,0,24,60
1960,john-bateman-1,1972,51,0,0,13,0,73,124
1903,billy-bates-1,1903,3,0,0,1,0,4,7
1977,charlie-bates-1,1977,3,0,0,1,0,3,7
1904,wp-bates-1,1904,10,0,0,1,0,0,10
2013,mike-bath-1,2013,7,0,0,1,0,0,7
