"Coach" "start_year"
"1433" "joe-paterno-1" 1966
"204" "mack-brown-1" 1985
"215" "bear-bryant-1" 1945
"269" "lloyd-carr-1" 1995
"270" "pete-carroll-1" 2001
"469" "dan-devine-1" 1955
"1259" "urban-meyer-1" 2001
"1384" "tom-obrien-1" 1997
"166" "bobby-bowden-1" 1970
"113" "mike-bellotti-1" 1995
"1728" "steve-spurrier-1" 1987
"1639" "howard-schnellenberger-1" 1979
"928" "don-james-1" 1971
"230" "wallace-butts-1" 1939
"876" "lou-holtz-1" 1969
"1548" "mark-richt-1" 2001
"664" "phillip-fulmer-1" 1992
"1380" "houston-nutt-1" 1997
"1249" "bronco-mendenhall-1" 2005
"722" "ray-graves-1" 1960
"1608" "nick-saban-1" 1990
"1178" "ron-mcbride-1" 1990
"1564" "john-robinson-1" 1976
"1768" "bob-stoops-1" 1999
"1677" "jackie-sherrill-1" 1976
"1142" "johnny-majors-1" 1968
"1802" "barry-switzer-1" 1973
"25" "barry-alvarez-1" 1990
"1449" "ray-perkins-2" 1983
"1732" "gene-stallings-1" 1965
"509" "vince-dooley-1" 1964
"789" "walt-harris-1" 1989
"877" "skip-holtz-1" 2005
"504" "jim-donnan-1" 1996
"1408" "tom-osborne-1" 1973
"1455" "bobby-petrino-1" 2003
"1452" "chris-petersen-1" 2006
"1083" "jim-leavitt-1" 2000
"964" "june-jones-1" 1999
"1079" "mike-leach-1" 2000
"84" "gary-barnett-1" 1992
"26" "chuck-amato-1" 2000
"1819" "jeff-tedford-1" 2002
"1716" "bill-snyder-1" 1989
"657" "hayden-fry-1" 1962
"1357" "rick-neuheisel-1" 1995
"1759" "harry-stiteler-1" 1948
"640" "danny-ford-1" 1978
"102" "frank-beamer-1" 1987
"1550" "mike-riley-1" 1997
"567" "rip-engle-1" 1944
"1036" "dirk-koetter-1" 1998
"1862" "jim-tressel-1" 2001
"1364" "bob-neyland-1" 1926
"1189" "charles-mcclendon-1" 1962
"468" "bob-devaney-1" 1957
"1770" "mike-stoops-1" 2004
"959" "butch-jones-1" 2007
"1867" "tommy-tuberville-1" 1995
"241" "troy-calhoun-1" 2007
"296" "blair-cherry-1" 1947
"1390" "george-oleary-1" 1994
"1789" "kevin-sumlin-1" 2008
"1182" "dan-mccarney-1" 1995
"1634" "greg-schiano-1" 2001
"1573" "rich-rodriguez-1" 2001
"610" "kirk-ferentz-1" 1999
"654" "ralph-friedgen-1" 2001
"1918" "bill-walsh-1" 1977
"1969" "kyle-whittingham-1" 2005
"1889" "john-vaught-1" 1947
"550" "lavell-edwards-1" 1972
"402" "eddie-crowder-1" 1963
"1054" "frank-kush-1" 1958
"211" "frank-broyles-1" 1957
"736" "jim-grobe-1" 1995
"169" "jeff-bower-1" 1990
"1631" "bo-schembechler-1" 1963
"740" "mike-gundy-1" 2005
"970" "ralph-jordan-1" 1951
"807" "dan-hawkins-1" 2001
"1267" "les-miles-1" 2001
"442" "butch-davis-1" 1995
"1597" "darrell-royal-1" 1954
"1163" "glen-mason-1" 1986
"1072" "frank-lauterbur-1" 1963
"1979" "bud-wilkinson-1" 1947
"576" "dennis-erickson-1" 1986
"647" "james-franklin-2" 2011
"1696" "rc-slocum-1" 1989
"1589" "bobby-ross-1" 1973
"1434" "gary-patterson-1" 2000
"63" "david-bailiff-1" 2007
"1467" "gary-pinkel-1" 1991
"452" "fisher-deberry-1" 1984
"853" "terry-hoeppner-1" 1999
"627" "pat-fitzgerald-1" 2006
"492" "bobby-dodd-1" 1945
"589" "chuck-fairbanks-1" 1967
"220" "john-bunting-1" 2001
"1324" "dan-mullen-1" 2009
"168" "tommy-bowden-1" 1997
"1444" "bo-pelini-1" 2003
"812" "woody-hayes-1" 1951
"1920" "dave-wannstedt-1" 2005
"1840" "joe-tiller-1" 1991
"2052" "ron-zook-1" 2002
"737" "al-groh-1" 1981
"421" "bill-curry-1" 1980
"1113" "steve-logan-1" 1992
"718" "todd-graham-1" 2006
"1368" "ken-niumatalolo-1" 2007
"1816" "grant-teaff-1" 1972
"23" "stub-allison-1" 1920
"540" "pat-dye-1" 1974
"486" "bill-doba-1" 2003
"275" "len-casanova-1" 1946
"543" "spike-dykes-1" 1986
"962" "howard-jones-1" 1908
"409" "dick-crum-1" 1974
"847" "pat-hill-1" 1997
"1991" "tyrone-willingham-1" 1995
"212" "earle-bruce-1" 1973
"1827" "frank-thomas-1" 1931
"952" "jimmy-johnson-2" 1979
"1721" "frank-solich-1" 1998
"1350" "jess-neely-1" 1931
"1450" "george-perles-1" 1983
"2035" "bill-yeoman-1" 1962
"150" "larry-blakeney-1" 2001
"501" "terry-donahue-1" 1976
"2038" "jim-young-1" 1973
"575" "eddie-erdelatz-1" 1950
"583" "forest-evashevski-1" 1950
"1061" "jim-lambright-1" 1993
"195" "rich-brooks-1" 1977
"623" "jimbo-fisher-1" 2010
"547" "randy-edsall-1" 2000
"986" "chip-kelly-1" 2009
"1530" "bo-rein-1" 1976
"264" "jim-carlen-1" 1966
"1470" "jim-pittman-1" 1966
"1287" "gary-moeller-1" 1977
"1904" "bob-wagner-1" 1987
"485" "gerry-dinardo-1" 1991
"1954" "george-welsh-1" 1973
"1137" "dick-macpherson-1" 1981
"383" "jeff-cravath-1" 1929
"332" "larry-coker-1" 2001
"1812" "jim-tatum-1" 1942
"1492" "mike-price-1" 1989
"1629" "chris-scelfo-1" 1998
"645" "dennis-franchione-1" 1992
"985" "brian-kelly-2" 2004
"1136" "john-mackovic-1" 1978
"1822" "lou-tepper-1" 1991
"186" "john-bridgers-1" 1959
"803" "ken-hatfield-1" 1979
"1154" "doug-marrone-1" 2009
"1853" "dick-tomey-1" 1977
"669" "chan-gailey-1" 2002
"85" "john-barnhill-1" 1941
"1376" "joe-novak-1" 1996
"1432" "paul-pasqualoni-1" 1991
"1144" "bill-mallory-1" 1969
"1574" "darryl-rogers-1" 1969
"355" "john-cooper-2" 1977
"472" "phil-dickens-1" 1953
"112" "emory-bellard-1" 1972
"433" "mark-dantonio-1" 2004
"1799" "jim-sweeney-1" 1968
"181" "billy-brewer-1" 1980
"301" "gene-chizik-1" 2007
"1352" "don-nehlen-1" 1968
"1183" "bill-mccartney-1" 1982
"1215" "john-mckay-1" 1960
"132" "dana-bible-1" 1915
"242" "bill-callahan-1" 2004
"1430" "ara-parseghian-1" 1956
"188" "art-briles-1" 2003
"1747" "bill-stewart-1" 2008
"2020" "warren-woodson-1" 1941
"1490" "edwin-price-1" 1951
"97" "bill-battle-1" 1970
"2029" "bowden-wyatt-1" 1947
"391" "fritz-crisler-1" 1930
"558" "pete-elliott-1" 1956
"1498" "bob-pruett-1" 1997
"1676" "mike-sherman-1" 2008
"1285" "jack-mitchell-1" 1953
"1486" "warren-powers-1" 1977
"1941" "dewitt-weaver-1" 1951
"856" "brady-hoke-1" 2003
"690" "keith-gilbertson-1" 1992
"1497" "tommy-prothro-1" 1955
"476" "doug-dickey-1" 1964
"683" "gary-gibbs-1" 1989
"1717" "bruce-snyder-1" 1976
"134" "jack-bicknell-1" 1981
"2016" "bob-woodruff-1" 1947
"1147" "mark-mangino-1" 2002
"1674" "dick-sheridan-1" 1978
"1706" "larry-smith-2" 1976
"1414" "jim-owens-1" 1957
"10" "fred-akers-1" 1975
"426" "david-cutcliffe-1" 1998
"863" "doc-holliday-1" 2010
"1618" "steve-sarkisian-1" 2009
"1779" "charlie-strong-1" 2004
"858" "dana-holgorsen-1" 2011
"1196" "rube-mccray-1" 1944
"1998" "tom-wilson-1" 1978
"1004" "jerry-kill-1" 2008
"771" "jim-harbaugh-1" 2007
"1801" "dabo-swinney-1" 2008
"1893" "dick-vermeil-1" 1974
"446" "paul-davis-2" 1962
"1257" "dutch-meyer-1" 1934
"556" "bump-elliott-1" 1959
"1446" "charley-pell-1" 1977
"1514" "john-ralston-1" 1959
"1734" "jim-stanley-1" 1973
"30" "tom-amstutz-1" 2001
"1856" "chris-tormey-1" 1996
"1683" "mike-shula-1" 2003
"341" "bobby-collins-1" 1975
"1374" "homer-norton-1" 1930
"147" "gary-blackney-1" 1991
"6" "steve-addazio-1" 2011
"311" "jerry-claiborne-1" 1961
"826" "dan-henning-1" 1994
"824" "gus-henderson-1" 1922
"1902" "wallace-wade-1" 1923
"553" "ray-eliot-1" 1942
"1405" "al-onofrio-1" 1971
"171" "sam-boyd-1" 1956
"398" "sylvester-croom-1" 2004
"136" "bret-bielema-1" 2006
"777" "jim-harkema-1" 1983
"455" "dudley-degroot-1" 1948
"1837" "tiny-thornhill-1" 1933
"494" "dave-doeren-1" 2011
"488" "robert-dobbs-1" 1955
"1007" "billy-kinard-1" 1971
"1644" "ben-schwartzwalder-1" 1949
"239" "jim-caldwell-1" 1993
"507" "bill-dooley-1" 1967
"1124" "sonny-lubick-1" 1993
"487" "glenn-dobbs-1" 1961
"1080" "frank-leahy-1" 1939
"1762" "rick-stockstill-1" 2006
"1332" "jack-murphy-1" 1971
"1661" "buck-shaw-1" 1937
"392" "mario-cristobal-1" 2007
"1120" "jim-lookabaugh-1" 1939
"1675" "bo-sherman-1" 1952
"738" "arthur-guepe-1" 1946
"1334" "bill-murray-1" 1951
"603" "larry-fedora-1" 2008
"483" "paul-dietzel-1" 1955
"1241" "david-mcwilliams-1" 1986
"555" "rich-ellerson-1" 2009
"703" "ray-goff-1" 1989
"549" "earle-edwards-1" 1954
"1385" "mike-ocain-1" 1993
"520" "red-drew-1" 1924
"1758" "lon-stiner-1" 1933
"15" "william-alexander-1" 1920
"946" "bobby-johnson-2" 2002
"1939" "charlie-weatherbie-1" 1992
"1983" "bobby-williams-2" 1999
"655" "henry-frnka-1" 1941
"1955" "tommy-west-1" 1993
"815" "michael-haywood-1" 2009
"1849" "bob-toledo-1" 1979
"954" "paul-johnson-1" 2002
"544" "lloyd-eaton-1" 1962
"1298" "bernie-moore-1" 1935
"966" "pat-jones-1" 1984
"167" "terry-bowden-1" 1993
"304" "dave-christensen-1" 2009
"1042" "steve-kragthorpe-1" 2003
"1869" "ron-turner-1" 1992
"895" "mark-hudspeth-1" 2011
"1107" "lou-little-1" 1927
"976" "al-kawal-1" 1947
"1329" "billy-murphy-1" 1960
"1402" "jordan-olivar-1" 1943
"1303" "charley-moran-1" 1909
"913" "harvey-hyde-1" 1982
"689" "claude-gilbert-1" 1973
"1665" "terry-shea-1" 1990
"48" "ike-armstrong-1" 1925
"422" "jack-curtice-1" 1941
"624" "robert-fisher-1" 1919
"1697" "andy-smith-1" 1913
"1659" "clark-shaughnessy-1" 1915
"846" "jess-hill-1" 1951
"1925" "murray-warmath-1" 1952
"1243" "jack-meagher-1" 1929
"1218" "allyn-mckeen-1" 1939
"774" "jack-harding-1" 1937
"885" "jeff-horton-1" 1993
"571" "dan-enos-1" 2010
"108" "alex-bell-1" 1960
"1345" "ray-nagel-1" 1958
"1146" "gus-malzahn-1" 2012
"1909" "dc-walker-1" 1937
"1336" "will-muschamp-1" 2011
"31" "gary-andersen-1" 2009
"1025" "jimmy-kitts-1" 1934
"109" "madison-bell-1" 1929
"773" "wayne-hardin-1" 1959
"1453" "bill-peterson-1" 1960
"652" "hugh-freeze-1" 2011
"1705" "john-smith-2" 1995
"496" "jack-doland-1" 1975
"1187" "dave-mcclain-1" 1975
"757" "curley-hallman-1" 1988
"1506" "david-rader-1" 1988
"271" "bud-carson-1" 1967
"888" "frank-howard-1" 1940
"508" "derek-dooley-1" 2007
"1133" "mike-macintyre-1" 2010
"1145" "frank-maloney-1" 1974
"590" "steve-fairchild-1" 2008
"1139" "slip-madigan-1" 1930
"960" "frank-jones-1" 1966
"741" "andy-gustafson-1" 1926
"104" "tim-beckman-1" 2009
"53" "chris-ault-1" 1992
"1289" "jack-mollenkopf-1" 1956
"1852" "ted-tollner-1" 1983
"1568" "knute-rockne-1" 1918
